歌手名,歌手地区,歌手id,歌手图片
周杰伦,,0025NhlN2yWrP4,http://y.gtimg.cn/music/photo_new/T001R150x150M0000025NhlN2yWrP4.webp
王靖雯不胖,,002YetSZ06c9c9,http://y.gtimg.cn/music/photo_new/T001R150x150M000002YetSZ06c9c9.webp
任然,,00067r4p0wBDDN,http://y.gtimg.cn/music/photo_new/T001R150x150M00000067r4p0wBDDN.webp
林俊杰,,001BLpXF2DyJe2,http://y.gtimg.cn/music/photo_new/T001R150x150M000001BLpXF2DyJe2.webp
刘惜君,,003x77MM2iIg6c,http://y.gtimg.cn/music/photo_new/T001R150x150M000003x77MM2iIg6c.webp
周深,,003fA5G40k6hKc,http://y.gtimg.cn/music/photo_new/T001R150x150M000003fA5G40k6hKc.webp
李荣浩,,000aHmbL2aPXWH,http://y.gtimg.cn/music/photo_new/T001R150x150M000000aHmbL2aPXWH.webp
G.E.M. 邓紫棋,,001fNHEf1SFEFN,http://y.gtimg.cn/music/photo_new/T001R150x150M000001fNHEf1SFEFN.webp
程响,,003iPzNg35cWzp,http://y.gtimg.cn/music/photo_new/T001R150x150M000003iPzNg35cWzp.webp
薛之谦,,002J4UUk29y8BY,http://y.gtimg.cn/music/photo_new/T001R150x150M000002J4UUk29y8BY.webp
陈奕迅,,003Nz2So3XXYek,http://y.gtimg.cn/music/photo_new/T001R150x150M000003Nz2So3XXYek.webp
白小白,,004GZcGF2ZgJYo,http://y.gtimg.cn/music/photo_new/T001R150x150M000004GZcGF2ZgJYo.webp
等什么君,,001B2drs3Jq4EX,http://y.gtimg.cn/music/photo_new/T001R150x150M000001B2drs3Jq4EX.webp
许嵩,,000CK5xN3yZDJt,http://y.gtimg.cn/music/photo_new/T001R150x150M000000CK5xN3yZDJt.webp
黄霄雲,,000oCQfT3kdonw,http://y.gtimg.cn/music/photo_new/T001R150x150M000000oCQfT3kdonw.webp
花僮,,001r6H560AOJMq,http://y.gtimg.cn/music/photo_new/T001R150x150M000001r6H560AOJMq.webp
张碧晨,,0003ZpE43ypssl,http://y.gtimg.cn/music/photo_new/T001R150x150M0000003ZpE43ypssl.webp
时代少年团,,0039JTTG0s4SCv,http://y.gtimg.cn/music/photo_new/T001R150x150M0000039JTTG0s4SCv.webp
毛不易,,001BHDR33FZVZ0,http://y.gtimg.cn/music/photo_new/T001R150x150M000001BHDR33FZVZ0.webp
李宇春,,002ZOuVm3Qn20Y,http://y.gtimg.cn/music/photo_new/T001R150x150M000002ZOuVm3Qn20Y.webp
摩登兄弟刘宇宁,,001Iu4Dv1NzRCD,http://y.gtimg.cn/music/photo_new/T001R150x150M000001Iu4Dv1NzRCD.webp
张远,,004PjYVG2cjyBK,http://y.gtimg.cn/music/photo_new/T001R150x150M000004PjYVG2cjyBK.webp
DJ小鱼儿,,002YZsgF2rNFZL,http://y.gtimg.cn/music/photo_new/T001R150x150M000002YZsgF2rNFZL.webp
BEYOND,,002pUZT93gF4Cu,http://y.gtimg.cn/music/photo_new/T001R150x150M000002pUZT93gF4Cu.webp
王力宏,,001JDzPT3JdvqK,http://y.gtimg.cn/music/photo_new/T001R150x150M000001JDzPT3JdvqK.webp
单依纯,,002ug9Ha2zYM1y,http://y.gtimg.cn/music/photo_new/T001R150x150M000002ug9Ha2zYM1y.webp
汪苏泷,,001z2JmX09LLgL,http://y.gtimg.cn/music/photo_new/T001R150x150M000001z2JmX09LLgL.webp
五月天,,000Sp0Bz4JXH0o,http://y.gtimg.cn/music/photo_new/T001R150x150M000000Sp0Bz4JXH0o.webp
BLACKPINK,,003DBAjk2MMfhR,http://y.gtimg.cn/music/photo_new/T001R150x150M000003DBAjk2MMfhR.webp
曲肖冰,,001ZVMXf3ZYVX7,http://y.gtimg.cn/music/photo_new/T001R150x150M000001ZVMXf3ZYVX7.webp
张学友,,004Be55m1SJaLk,http://y.gtimg.cn/music/photo_new/T001R150x150M000004Be55m1SJaLk.webp
